Song,Stem,Separator,MOS (Artifacts),MOS (Other Instruments
Actions-OneMinuteSmile,drums,Source Separation Wavenet,3.0,2.9
Actions-OneMinuteSmile,drums,D3Net,4.2,3.923076923076923
Actions-OneMinuteSmile,drums,Spleeter,2.2222222222222223,2.625
Actions-OneMinuteSmile,vocals,Source Separation Wavenet,4.333333333333333,4.444444444444445
Actions-OneMinuteSmile,drums,Demucs-Extra,2.8333333333333335,2.1666666666666665
Actions-OneMinuteSmile,drums,Hybrid Demucs,3.2,3.4
Actions-OneMinuteSmile,vocals,Spleeter,3.25,3.6666666666666665
Actions-OneMinuteSmile,bass,Hybrid Demucs,3.3529411764705883,3.9444444444444446
Actions-OneMinuteSmile,vocals,Hybrid Demucs,3.4,2.2
Actions-OneMinuteSmile,bass,Source Separation Wavenet,3.7142857142857144,2.875
AlJames-SchoolboyFacination,vocals,Source Separation Wavenet,3.0,3.25
AlJames-SchoolboyFacination,bass,Demucs-Extra,2.0,3.0
AlJames-SchoolboyFacination,bass,Hybrid Demucs,3.0,2.375
AlJames-SchoolboyFacination,drums,D3Net,2.5,3.8
AlJames-SchoolboyFacination,vocals,Hybrid Demucs,2.923076923076923,3.25
AlJames-SchoolboyFacination,bass,D3Net,3.0,2.0
AlJames-SchoolboyFacination,drums,Demucs-Extra,2.857142857142857,3.0
AlJames-SchoolboyFacination,vocals,Demucs-Extra,2.3333333333333335,1.8888888888888888
AlJames-SchoolboyFacination,drums,Spleeter,4.0,1.2
AlJames-SchoolboyFacination,bass,Source Separation Wavenet,4.0,1.5
AngelsInAmplifiers-I'mAlright,bass,Source Separation Wavenet,4.2,4.142857142857143
AngelsInAmplifiers-I'mAlright,drums,Demucs-Extra,4.0,4.142857142857143
AngelsInAmplifiers-I'mAlright,bass,Spleeter,3.2857142857142856,3.0
AngelsInAmplifiers-I'mAlright,bass,Hybrid Demucs,2.75,3.0
AngelsInAmplifiers-I'mAlright,vocals,Demucs-Extra,3.0,2.8
AngelsInAmplifiers-I'mAlright,vocals,Source Separation Wavenet,3.0,3.375
AngelsInAmplifiers-I'mAlright,drums,Source Separation Wavenet,2.75,2.8
AngelsInAmplifiers-I'mAlright,vocals,Hybrid Demucs,3.0,3.375
AngelsInAmplifiers-I'mAlright,drums,D3Net,4.0,3.8333333333333335
AngelsInAmplifiers-I'mAlright,drums,Hybrid Demucs,3.857142857142857,1.5714285714285714
AngelsInAmplifiers-I'mAlright,vocals,Spleeter,4.428571428571429,2.1666666666666665
AngelsInAmplifiers-I'mAlright,bass,D3Net,3.25,3.2857142857142856
AngelsInAmplifiers-I'mAlright,drums,Spleeter,2.357142857142857,2.0714285714285716
AngelsInAmplifiers-I'mAlright,bass,Demucs-Extra,1.75,2.5555555555555554
Arise-RunRunRun,drums,D3Net,2.6666666666666665,1.875
